track_id,popularity,duration_ms,danceability,energy,loudness,instrumentalness,valence,tempo,track_genre
1IrPSbGITPaMwMMEXfb2DJ,9,306960,0.583,0.206,-12.297,0.38,0.483,123.362,afrobeat
7JY9axEOxQbeAN8OzwsOwy,53,174677,0.607,0.178,-15.471,0.0,0.422,127.956,acoustic
2E9viCx0hJKNKNThd2MdGQ,56,177500,0.607,0.473,-8.555,0.0,0.54,119.698,acoustic
5himtcBG5IetEOAYuB1Lu1,52,175200,0.639,0.439,-7.157,0.0,0.51,133.87,acoustic
2CTzBqhD3xitdqHzEaGoiz,37,105360,0.674,0.518,-6.658,3.81e-06,0.554,133.935,afrobeat
1B6d6tSoQTZyYalEFVu86p,40,317675,0.652,0.529,-5.761,2.05e-05,0.488,129.861,afrobeat
0dzKBptH2P5j5a0MifBMwM,0,273653,0.633,0.429,-6.784,0.0,0.52,143.793,acoustic
0voYwjeuMfvXlF76oesZKu,56,183213,0.496,0.391,-9.844,0.0126,0.492,108.868,acoustic
2uJsLbcAKJWCaYBrVPYxUw,28,258866,0.577,0.453,-8.77,0.0,0.51,132.944,acoustic
1TRIYxcVJYPki5AX2hZzZT,52,445533,0.639,0.496,-6.844,0.254,0.467,140.394,acoustic
4CA1DhfgMg9iRDibIgTu1f,30,213480,0.6,0.476,-8.558,0.00488,0.572,142.033,afrobeat
1BECZPXBXzobsfmlzj0g3I,19,264280,0.56,0.278,-12.501,0.0,0.594,102.187,acoustic
5DZVpQguB5TGP3MdkN3JSP,30,169733,0.707,0.467,-7.511,5.33e-06,0.478,110.096,acoustic
5msvkAkQ8o2GhNxOu3YW5D,28,274133,0.63,0.367,-11.054,0.000202,0.547,98.995,acoustic
6VwAh8Z1d5YKoSWoEaV4db,65,159600,0.787,0.355,-11.429,0.0201,0.48,99.978,acoustic
4XBkxG1jC5RBQJt65gma8v,51,155510,0.776,0.319,-7.496,0.0,0.501,98.016,acoustic
0CbNE0yI2EZv9uIwXnP4p5,18,353946,0.794,0.4,-9.849,0.55,0.437,108.622,afrobeat
5hP86UPfveDTuRSUC5FH89,42,217898,0.614,0.517,-6.205,0.0,0.424,133.868,acoustic
2CsHDQ1WFLQBBpIEuLcL3z,51,282950,0.592,0.49,-8.508,0.0,0.437,99.994,acoustic
24M6MHeugm1sHHNzCP5eV4,30,244813,0.707,0.531,-7.21,0.000182,0.49,107.994,acoustic
4Fc7BhMBjIVDnGQG8L6ayi,27,322140,0.731,0.485,-10.113,0.00464,0.463,106.052,acoustic
5Z01kGFWQcQA3XBRxjAzAJ,37,213620,0.674,0.52,-10.106,2.41e-06,0.422,116.029,acoustic
5PusZRYXN29yDQOzDMzSJK,27,263266,0.615,0.545,-12.572,2.9e-06,0.47,110.335,acoustic
22RPKKHCEqiEYQMjc7Ed9o,17,773800,0.826,0.629,-6.158,0.38,0.54,128.164,afrobeat
6SRpVxkMTYbFSrTt9b7Kri,16,307493,0.743,0.643,-6.578,0.0775,0.591,128.029,afrobeat
3sdokgCYFdz24u6vohprY4,0,254955,0.694,0.52,-8.758,1.26e-06,0.52,108.06,alt-rock
0BFWUoOu91FcOEtpTdWFrN,0,217200,0.626,0.515,-5.26,1.48e-06,0.478,110.999,alt-rock
0BUuuEvNa5T4lMaewyiudB,0,216386,0.572,0.454,-10.286,1.37e-05,0.515,140.182,acoustic
3SqVMOupg0AX9xTWqP9PSD,49,245653,0.652,0.586,-8.281,0.0,0.554,144.031,acoustic
3XnDbrxxtA40HPIIRWLgRT,61,168712,0.606,0.415,-8.317,0.00149,0.405,137.775,acoustic
3WXd8AWDD0oormqfYpSqJA,42,217446,0.583,0.31,-14.911,0.0,0.563,140.974,afrobeat
3Re0unscFRNOkwwEGtxhCO,54,188181,0.529,0.24,-9.066,0.0,0.487,131.266,acoustic
5mw8Zmzqx3VhxqokFAntGI,46,222052,0.636,0.169,-11.191,0.0,0.467,138.236,acoustic
7omxuGYsym1n2RlVf86OF9,71,250900,0.542,0.433,-10.47,0.173,0.495,140.939,alt-rock
1FHCU1rDAeaPsBW9byjJ0Q,64,246280,0.503,0.357,-9.36,0.0,0.438,136.135,acoustic
2AN3wNGUW0IgzfuurtVEDS,31,124400,0.554,0.4,-11.806,0.348,0.547,101.191,acoustic
28HE2hcTggk9F46G9Ra6PY,11,328826,0.514,0.532,-17.026,0.00523,0.553,113.821,afrobeat
3R11aqnxH9nlrxyAPV3A3Q,29,268906,0.572,0.567,-6.147,2.47e-05,0.498,135.217,acoustic
57BoKvyN8KbOYkncKzQiD4,26,258271,0.6,0.65,-5.127,0.0469,0.49,139.975,acoustic
6ivwlk05kmqz1Sk9CNOYoX,20,175072,0.55,0.557,-6.875,0.000231,0.439,111.383,afrobeat
1b7DozY0xHWXU1T84Lck1z,62,193846,0.631,0.643,-5.656,0.0,0.528,130.099,alt-rock
4o7qQwLjPPwXNNSTax6yWr,0,194693,0.613,0.655,-9.229,1.16e-06,0.557,138.854,alt-rock
6cPzGLgdF4KW6U4Yr5AdTX,17,183946,0.508,0.483,-6.883,0.0,0.523,133.207,afrobeat
4TbIOAb7FfbhHi2glq0EwA,48,655440,0.439,0.475,-12.559,0.253,0.428,111.717,afrobeat
0s3hLSHmF9JBS7bNrx1jRd,8,250013,0.583,0.44,-8.75,0.813,0.594,101.799,afrobeat
7AtnW6HeSUsPpA9D59PJyx,28,191973,0.517,0.578,-7.37,1.42e-06,0.398,138.178,acoustic
3yVSlc3y7YWZPAreTHjH9v,34,290480,0.644,0.603,-5.83,0.0,0.516,113.413,acoustic
2zQt5C0AIv27RhfJCRZdZ4,39,309493,0.776,0.8,-4.704,0.0731,0.583,143.989,afrobeat
31p1i3XDY9W8ORcDXmA17Q,36,195040,0.725,0.618,-9.842,0.000133,0.479,112.681,afrobeat
3ayGhSSsgy1PyvJi6Np0CH,33,206999,0.585,0.588,-8.147,5.19e-06,0.429,100.808,afrobeat
01ioXCMkGpxuKrdEO3TSob,27,255761,0.681,0.579,-6.141,0.0,0.588,120.037,afrobeat
3zkJuZ7sP69YTS3h8VNVME,20,155853,0.696,0.686,-8.207,0.000956,0.477,128.102,afrobeat
3NBweAfNWhU9Zu1xDLHAR8,41,238577,0.594,0.552,-5.97,0.000816,0.52,110.038,afrobeat
28i8wrtierqlLXenXZqgRL,16,242000,0.753,0.728,-6.071,0.0652,0.59,144.003,afrobeat
2WTAIaNcsjfyJzzl9XLjmB,16,286480,0.598,0.576,-9.442,0.00182,0.494,107.997,afrobeat
2xql0pid3EUwW38AsywxhV,80,244013,0.648,0.594,-7.027,0.0462,0.544,113.983,alt-rock
5vHLwhxxlGzmClMcxRRFPr,73,257053,0.678,0.656,-6.41,0.0,0.485,123.207,alt-rock
3vkQehpUmpIPXNeuQeFeDC,19,187000,0.723,0.558,-7.514,1.4e-06,0.547,103.983,afrobeat
2XW4AAjfBQTzp7Oe1tU702,55,178826,0.693,0.664,-5.852,0.0,0.436,132.059,acoustic
68Yc9ylRZZPtsuVgtrxcDj,50,149000,0.595,0.646,-5.495,0.0,0.563,120.049,acoustic
68HbD7rEFTlnJy4UWSpySY,28,217466,0.578,0.636,-5.506,0.0,0.556,124.9,acoustic
6XcfKZvJio9Z0fQy11GnNX,70,204878,0.666,0.728,-5.808,4.26e-06,0.51,122.996,alt-rock
0wMGxaOeu5zZfbx3gWctMx,0,165186,0.706,0.474,-8.55,0.0,0.545,99.776,alt-rock
3iRkhxe3TU2fiwOLRJWzwx,18,192277,0.534,0.631,-8.067,0.0,0.506,126.018,afrobeat
4Gk58WahIU0EfGR6P0T8Tm,30,295866,0.457,0.231,-17.316,0.523,0.444,133.083,afrobeat
03VNgdCL9t8aPyvwZecglI,54,181360,0.451,0.528,-6.984,0.0,0.527,139.28,acoustic
4ncp2DWzx9EQfaJmOdf45s,28,124742,0.462,0.424,-7.038,0.0,0.564,97.675,acoustic
1Trsjxw3OfwzIVsSuItgIa,38,156831,0.564,0.483,-7.82,3.09e-06,0.569,101.095,afrobeat
5GMhgIyKbUlcw05h394yvl,42,192404,0.536,0.632,-10.067,0.921,0.566,117.796,afrobeat
43WuM1pfzxEB4rPr9PL5xb,27,198136,0.439,0.532,-5.071,0.0,0.437,129.936,acoustic
2bDENJyfbxj0neGiXUFvIX,66,232173,0.537,0.656,-5.863,2.54e-06,0.45,141.873,alt-rock
7skh6P9IoZ4wQBqTHd0xku,33,181706,0.657,0.72,-6.375,0.000948,0.413,142.006,afrobeat
6Xrq1dAFgZcSi5HuuHe27i,41,273260,0.66,0.743,-8.302,0.00136,0.445,130.025,acoustic
5WhHTK5wyuY14tiHWuoH4G,25,215586,0.609,0.693,-6.395,0.0,0.452,119.992,acoustic
41cQE0wfKFnNV9dteynr92,0,383573,0.66,0.742,-8.08,4.04e-06,0.46,130.271,alt-rock
78UQDRUSnojL4fbcXNFSzQ,18,277600,0.467,0.615,-6.037,0.0,0.45,142.076,afrobeat
6AYmNlxHIzmAW7mYeaqpNo,18,283308,0.454,0.636,-7.768,0.824,0.455,138.448,afrobeat
2OTAulJdNdYoFQG2oqXtSB,51,212373,0.636,0.735,-5.162,1.23e-06,0.537,120.969,acoustic
0VPneSXkOP27R8Cf7v8HSN,45,206653,0.543,0.638,-6.875,0.000232,0.481,102.719,acoustic
5rRDCbF97rcJW0ES9RhPhC,54,186109,0.655,0.686,-5.701,1.13e-06,0.544,112.974,acoustic
1VJi7PtheTX2oJYIJZ7bWD,24,407295,0.625,0.703,-5.571,0.00493,0.487,114.113,afrobeat
6uZroCk7E7L7RhY7NAvC3Y,34,275266,0.585,0.734,-5.365,0.0,0.413,117.84,acoustic
2a0WwSvmFdXPTdDMilPA1y,54,195213,0.629,0.673,-4.379,0.0109,0.419,114.243,acoustic
2jHEySxCzzODFWmPzt084L,31,326600,0.609,0.76,-5.16,0.0,0.44,117.135,acoustic
7saOSM2fUxclPXFAFJQACk,28,219853,0.71,0.782,-6.276,8.66e-06,0.523,123.04,acoustic
6e5hyCF3qVFEtPm7QsRiw1,22,291373,0.61,0.808,-5.957,0.44,0.556,137.086,afrobeat
0Xe9Yb3MKkQvJuxgBXMleu,18,345022,0.767,0.837,-4.364,0.918,0.493,135.972,afrobeat
6KKIxIWUL2dOn4CxmvY0H9,19,257693,0.759,0.78,-8.007,0.0506,0.51,125.05,afrobeat
2TRXV6DoQLjdRrBR6ED6NP,44,196920,0.733,0.657,-6.843,6.73e-05,0.433,109.954,acoustic
0ef9BxWhaAOvzqsDuDLp2a,25,166373,0.725,0.611,-7.218,0.0,0.415,101.012,afrobeat
0gGslfeZ5GjK19VcS82Sqa,36,277438,0.751,0.688,-8.023,0.84,0.403,120.96,afrobeat
3Rx4fQLLlupxqm3inilnhd,19,242428,0.669,0.754,-4.809,0.0,0.543,118.091,afrobeat
5OyCifE7MBhhWCTkn5DHVF,15,344410,0.746,0.881,-6.687,0.694,0.586,130.988,afrobeat
3C0K6ldyghoPafc1rde6qJ,19,187173,0.768,0.688,-9.079,0.73,0.4,125.112,afrobeat
2koSOTOngqtiLrTpLoiZtQ,27,89760,0.673,0.637,-7.546,0.000383,0.541,105.043,acoustic
7tUhh4MxnkgNvasB6ZxlAu,18,359045,0.717,0.683,-10.197,0.00564,0.594,113.016,afrobeat
1BZnc6VaggPnrQyjem5Dpf,33,256506,0.616,0.791,-6.246,3.97e-06,0.589,126.764,acoustic
7yEfhrMbfp8XNUrBFM7660,26,66706,0.474,0.625,-6.241,0.00138,0.553,108.396,afrobeat
4E6cwWJWZw2zWf7VFbH7wf,73,258826,0.583,0.786,-3.142,0.0,0.573,123.055,acoustic
5nqd51nD2UACz5JQ83v878,55,143120,0.382,0.507,-8.179,0.0124,0.494,135.787,afrobeat
424GDxARRXRaZ7Mla9EDI2,68,189600,0.556,0.72,-5.132,0.0,0.405,125.324,alt-rock
2QjOHCTQ1Jl3zawyYOpxh6,93,240400,0.612,0.807,-2.81,0.0177,0.398,124.053,alt-rock
2iA4neLS2rg1dlciGgmt4X,0,246733,0.61,0.889,-5.452,0.0865,0.506,139.903,alt-rock
4pIO4Hi73yRGnXt8zRbQ7m,61,130500,0.627,0.852,-3.545,0.0,0.412,139.934,alt-rock
7fMxaup9mYP470sT9I71Od,26,111641,0.37,0.703,-6.765,0.0,0.482,143.848,acoustic
1aAhNjAqKqUFQ93uesAytf,37,148905,0.383,0.711,-8.113,0.000572,0.432,137.036,afrobeat
6ZKefbfRwoDdmiR1ktiM3g,24,268333,0.44,0.728,-5.895,0.848,0.518,136.243,afrobeat
2eU6yZOsTESuFQfl0T4zVf,23,214306,0.571,0.845,-6.674,0.734,0.586,128.627,afrobeat
3TgMcrV32NUKjEG2ujn9eh,73,248335,0.618,0.837,-5.338,0.000378,0.526,121.227,alt-rock
32XyUNQGL33AqoRBNlW4OS,31,247226,0.69,0.695,-10.241,0.00351,0.564,106.032,afrobeat
1JF1nELbG0d3bxg7EPLGNQ,30,287533,0.781,0.755,-7.015,0.00267,0.597,118.168,afrobeat
15VRO9CQwMpbqUYA7e6Hwg,76,261093,0.483,0.753,-8.937,0.000142,0.42,115.102,alt-rock
3RZoPvPHZsPTTc94DfWSCL,41,745653,0.672,0.942,-5.145,0.0142,0.574,131.45,afrobeat
2rUzh19do9xKVsfWCa92x7,0,295932,0.725,0.918,-2.468,0.00127,0.503,128.016,alt-rock
25WjhzidELBiE8WBROJIRs,29,235567,0.71,0.846,-3.981,0.00352,0.505,118.025,afrobeat
